#<<Setting sequence>>
#f1,f2,f3,pwr1,pwr2,pwr3,mak1,brk1,mak2,brk2,mak3,brk3
#Dail tone
450,0,0,-10,-10,0,500,0,0,0,0,0
#Ring back tone
450,0,0,-10,-10,0,1000,4000,0,0,0,0
#Error tone
950,0,0,-3,-3,0,500,0,0,0,0,0
#Call waiting tone
950,0,0,-15,-15,0,400,10000,0,0,0,0
#Second dail tone
400,0,0,-10,-10,0,400,0,0,0,0,0
#Busy tone
450,0,0,-5,-5,0,350,350,0,0,0,0
#Warning tone
950,0,0,-5,-5,0,500,0,0,0,0,0
#stutter dial tone
400,0,0,-5,-5,0,100,100,0,0,0,0
#1K Hz tone
1000,0,0,-5,0,0,1000,0,0,0,0,0
#Call Waiting Ring back tone
450,0,0,-10,-10,0,400,10000,0,0,0,0
